a	/a/
aba	/aβa/
ábaco	/ˈaβako/
abad	/aβað/
abadejo	/aβaðexo/
abadesa	/aβaðesa/
abadía	/aβaˈðia/
abadías	/aβaˈðias/
abajo	/aβaxo/
abalanza	/aβalanθa/
abalanzan	/aβalanθan/
abalanzaron	/aβalanθaɾon/
abalanzarse	/aβalanθaɾse/
abalanzó	/aβalanˈθo/
abalorios	/aβaloɾjos/
abanderado	/aβandeɾaðo/
abandona	/aβandona/
abandonaba	/aβandonaβa/
abandonaban	/aβandonaβan/
abandonad	/aβandonað/
abandonada	/aβandonaða/
abandonadas	/aβandonaðas/
abandonado	/aβandonaðo/
abandonados	/aβandonaðos/
abandonamos	/aβandonamos/
abandonan	/aβandonan/
abandonando	/aβandonando/
abandonar	/aβandonaɾ/
abandonará	/aβandonaˈɾa/
abandonara	/aβandonaɾa/
abandonarán	/aβandonaˈɾan/
abandonaran	/aβandonaɾan/
abandonarás	/aβandonaˈɾas/
abandonaras	/aβandonaɾas/
abandonaré	/aβandonaˈɾe/
abandonaremos	/aβandonaɾemos/
abandonaría	/aβandonaˈɾia/
abandonarían	/aβandonaˈɾian/
abandonarías	/aβandonaˈɾias/
abandonarla	/aβandonaɾla/
abandonarlas	/aβandonaɾlas/
abandonarle	/aβandonaɾle/
abandonarlo	/aβandonaɾlo/
abandonarlos	/aβandonaɾlos/
abandonarme	/aβandonaɾme/
abandonarnos	/aβandonaɾnos/
abandonaron	/aβandonaɾon/
abandonarse	/aβandonaɾse/
abandonarte	/aβandonaɾte/
abandonas	/aβandonas/
abandonase	/aβandonase/
abandonaste	/aβandonaste/
abandoné	/aβandoˈne/
abandone	/aβandone/
abandonéis	/aβandoˈneis/
abandonemos	/aβandonemos/
abandonen	/aβandonen/
abandones	/aβandones/
abandonó	/aβandoˈno/
abandono	/aβandono/
abanica	/aβanika/
abanico	/aβaniko/
abanicos	/aβanikos/
abarca	/aβaɾka/
abarcaba	/aβaɾkaβa/
abarcan	/aβaɾkan/
abarcando	/aβaɾkando/
abarcar	/aβaɾkaɾ/
abarrotada	/aβarotaða/
abarrotado	/aβarotaðo/
abarrotados	/aβarotaðos/
abarrotes	/aβarotes/
abastece	/aβasteθe/
abastecer	/aβasteθeɾ/
abastecerse	/aβasteθeɾse/
abastecido	/aβasteθiðo/
abasteciendo	/aβasteθjendo/
abastecimiento	/aβasteθimjento/
abastecimientos	/aβasteθimjentos/
abasto	/aβasto/
abate	/aβate/
abatida	/aβatiða/
abatido	/aβatiðo/
abatidos	/aβatiðos/
abatieron	/aβatjeɾon/
abatimiento	/aβatimjento/
