a	/a/
à	/a/
abaissant	/abɛsɑ̃/
abaisse	/abɛs/
abaissé	/abɛse/
abaissée	/abɛse/
abaissent	/abɛs/
abaisser	/abɛse/
abaissera	/abɛsəʁa/
abaisserai	/abɛsəʁɛ/
abaisserais	/abɛsəʁɛ/
abaisserait	/abɛsəʁɛ/
abaisses	/abɛs/
abaissés	/abɛse/
abaissez	/abɛse/
abaissons	/abɛsɔ̃/
abandon	/abɑ̃dɔ̃/
abandonna	/abɑ̃dɔna/
abandonnaient	/abɑ̃dɔnɛ/
abandonnais	/abɑ̃dɔnɛ/
abandonnait	/abɑ̃dɔnɛ/
abandonnant	/abɑ̃dɔnɑ̃/
abandonne	/abɑ̃dɔn/
abandonné	/abɑ̃dɔne/
abandonnée	/abɑ̃dɔne/
abandonnées	/abɑ̃dɔne/
abandonnent	/abɑ̃dɔn/
abandonner	/abɑ̃dɔne/
abandonnera	/abɑ̃dɔnəʁa/
abandonnerai	/abɑ̃dɔnəʁɛ/
abandonneraient	/abɑ̃dɔnəʁɛ/
abandonnerais	/abɑ̃dɔnəʁɛ/
abandonnerait	/abɑ̃dɔnəʁɛ/
abandonneras	/abɑ̃dɔnəʁa/
abandonnèrent	/abɑ̃dɔnɛʁ/
abandonnerez	/abɑ̃dɔnəʁe/
abandonneriez	/abɑ̃dɔnəʁje/
abandonnerons	/abɑ̃dɔnəʁɔ̃/
abandonneront	/abɑ̃dɔnəʁɔ̃/
abandonnes	/abɑ̃dɔn/
abandonnés	/abɑ̃dɔne/
abandonnez	/abɑ̃dɔne/
abandonniez	/abɑ̃dɔnje/
abandonnions	/abɑ̃dɔnjɔ̃/
abandonnons	/abɑ̃dɔnɔ̃/
abandons	/abɑ̃dɔ̃/
abasourdi	/abazuʁdi/
abasourdie	/abazuʁdi/
abasourdis	/abazuʁdi/
abat	/aba/
abats	/aba/
abattage	/abataʒ/
abattaient	/abatɛ/
abattait	/abatɛ/
abattant	/abatɑ̃/
abatte	/abat/
abattement	/abatmɑ̃/
abattent	/abat/
abattez	/abate/
abattiez	/abatje/
abattit	/abati/
abattoir	/abatwaʁ/
abattoirs	/abatwaʁ/
abattons	/abatɔ̃/
abattra	/abatʁa/
abattrai	/abatʁɛ/
abattraient	/abatʁɛ/
abattrais	/abatʁɛ/
abattrait	/abatʁɛ/
abattre	/abatʁ/
abattrez	/abatʁe/
abattrons	/abatʁɔ̃/
abattront	/abatʁɔ̃/
abattu	/abaty/
abattue	/abaty/
abattues	/abaty/
abattus	/abaty/
abbaye	/abei/
abbayes	/abei/
abbé	/abe/
abbesse	/abɛs/
abc	/abese/
abcès	/apsɛ/
abdication	/abdikasjɔ̃/
abdique	/abdik/
abdiqué	/abdike/
abdiquer	/abdike/
abdomen	/abdɔmɛn/
abdominal	/abdɔminal/
abdominale	/abdɔminal/
abdominales	/abdɔminal/
abdominaux	/abdɔmino/
abdos	/abdo/
abécédaire	/abesedɛʁ/
abeille	/abɛj/
abeilles	/abɛj/
aberrant	/abɛʁɑ̃/
aberrante	/abɛʁɑ̃t/
aberration	/abɛʁasjɔ̃/
aberrations	/abɛʁasjɔ̃/
abhorre	/abɔʁ/
abîme	/abim/
abîmé	/abime/
abîmée	/abime/
abîmées	/abime/
abîment	/abim/
abîmer	/abime/
abîmera	/abiməʁa/
abîmerait	/abiməʁɛ/
abîmes	/abim/
abîmés	/abime/
abîmez	/abime/
abject	/abʒɛkt/
abjection	/abʒɛksjɔ̃/
abjects	/abʒɛkt/
abjure	/abʒyʁ/
abjurer	/abʒyʁe/
ablation	/ablasjɔ̃/
ablutions	/ablysjɔ̃/
abnégation	/abnegasjɔ̃/
aboie	/abwa/
aboiement	/abwamɑ̃/
aboiements	/abwamɑ̃/
aboient	/abwa/
aboies	/abwa/
abois	/abwa/
aboli	/abɔli/
abolie	/abɔli/
abolir	/abɔliʁ/
abolit	/abɔli/
abolition	/abɔlisjɔ̃/
abolitionniste	/abɔlisjɔnist/
abolitionnistes	/abɔlisjɔnist/
abominable	/abɔminabl/
abominablement	/abɔminabləmɑ̃/
abominables	/abɔminabl/
abomination	/abɔminasjɔ̃/
abominations	/abɔminasjɔ̃/
abondamment	/abɔ̃damɑ̃/
abondance	/abɔ̃dɑ̃s/
abondant	/abɔ̃dɑ̃/
abondante	/abɔ̃dɑ̃t/
abondantes	/abɔ̃dɑ̃t/
abondants	/abɔ̃dɑ̃/
abonde	/abɔ̃d/
abondent	/abɔ̃d/
abonne	/abɔn/
abonné	/abɔne/
abonnée	/abɔne/
abonnement	/abɔnmɑ̃/
abonnements	/abɔnmɑ̃/
abonner	/abɔne/
abonnés	/abɔne/
abord	/abɔʁ/
abordable	/abɔʁdabl/
abordables	/abɔʁdabl/
abordage	/abɔʁdaʒ/
abordait	/abɔʁdɛ/
abordant	/abɔʁdɑ̃/
aborde	/abɔʁd/
abordé	/abɔʁde/
abordée	/abɔʁde/
abordent	/abɔʁd/
aborder	/abɔʁde/
abordera	/abɔʁdəʁa/
aborderai	/abɔʁdəʁɛ/
aborderons	/abɔʁdəʁɔ̃/
abordes	/abɔʁd/
abordés	/abɔʁde/
abordez	/abɔʁde/
abordons	/abɔʁdɔ̃/
abords	/abɔʁ/
aborigène	/abɔʁiʒɛn/
aborigènes	/abɔʁiʒɛn/
aboule	/abul/
aboulez	/abule/
about	/abu/
abouti	/abuti/
aboutie	/abuti/
aboutir	/abutiʁ/
aboutira	/abutiʁa/
aboutirait	/abutiʁɛ/
aboutis	/abuti/
aboutissant	/abutisɑ̃/
aboutissants	/abutisɑ̃/
aboutisse	/abutis/
aboutissement	/abutismɑ̃/
aboutissent	/abutis/
aboutit	/abuti/
aboyaient	/abwajɛ/
aboyait	/abwajɛ/
aboyant	/abwajɑ̃/
aboyé	/abwaje/
aboyer	/abwaje/
aboyez	/abwaje/
abracadabra	/abʁakadabʁa/
Abraham	/abʁaam/
abrasif	/abʁazif/
abrasion	/abʁazjɔ̃/
abrasions	/abʁazjɔ̃/
abrégé	/abʁeʒe/
abrège	/abʁɛʒ/
abrégée	/abʁeʒe/
abrégeons	/abʁeʒɔ̃/
abréger	/abʁeʒe/
abrégés	/abʁeʒe/
abrégez	/abʁeʒe/
abreuve	/abʁœv/
abreuvé	/abʁœve/
abreuver	/abʁœve/
abreuvoir	/abʁœvwaʁ/
abréviation	/abʁevjasjɔ̃/
abréviations	/abʁevjasjɔ̃/
abri	/abʁi/
Abribus	/abʁibys/
abricot	/abʁiko/
abricots	/abʁiko/
abris	/abʁi/
abritait	/abʁitɛ/
abritant	/abʁitɑ̃/
abrite	/abʁit/
abrité	/abʁite/
abritée	/abʁite/
abritent	/abʁit/
abriter	/abʁite/
abritera	/abʁitəʁa/
abrites	/abʁit/
abrités	/abʁite/
abritez	/abʁite/
abrogation	/abʁɔgasjɔ̃/
abrogé	/abʁɔʒe/
abroger	/abʁɔʒe/
abrupt	/abʁypt/
abruptement	/abʁyptəmɑ̃/
abruti	/abʁyti/
abrutie	/abʁyti/
abruties	/abʁyti/
abrutir	/abʁytiʁ/
abrutis	/abʁyti/
abrutissant	/abʁytisɑ̃/
abrutit	/abʁyti/
Abruzzes	/abʁyz/
absence	/apsɑ̃s/
absences	/apsɑ̃s/
absent	/apsɑ̃/
absentait	/apsɑ̃tɛ/
absente	/apsɑ̃t/
absenté	/apsɑ̃te/
absentée	/apsɑ̃te/
absentéisme	/apsɑ̃teism/
absenter	/apsɑ̃te/
absentes	/apsɑ̃t/
absents	/apsɑ̃/
absinthe	/apsɛ̃t/
absolu	/apsɔly/
absolument	/apsɔlymɑ̃/
absolus	/apsɔly/
absolution	/apsɔlysjɔ̃/
absorbait	/apsɔʁbɛ/
absorbant	/apsɔʁbɑ̃/
absorbe	/apsɔʁb/
absorbé	/apsɔʁbe/
absorbée	/apsɔʁbe/
absorbées	/apsɔʁbe/
absorbent	/apsɔʁb/
absorber	/apsɔʁbe/
absorbera	/apsɔʁbəʁa/
absorbés	/apsɔʁbe/
absorbez	/apsɔʁbe/
absorption	/apsɔʁpsjɔ̃/
absoudre	/apsudʁ/
abstenir	/apstəniʁ/
abstention	/apstɑ̃sjɔ̃/
abstentions	/apstɑ̃sjɔ̃/
abstenu	/apstəny/
abstiendrai	/apstjɛ̃dʁɛ/
abstiennent	/apstjɛ̃n/
abstiens	/apstjɛ̃/
abstient	/apstjɛ̃/
abstinence	/apstinɑ̃s/
abstinent	/apstinɑ̃/
abstinents	/apstinɑ̃/
abstraction	/apstʁaksjɔ̃/
abstrait	/apstʁɛ/
abstraite	/apstʁɛt/
abstraites	/apstʁɛt/
abstraits	/apstʁɛ/
absurde	/apsyʁd/
absurdes	/apsyʁd/
absurdité	/apsyʁdite/
absurdités	/apsyʁdite/
abus	/aby/
abusais	/abyzɛ/
abusait	/abyzɛ/
abusant	/abyzɑ̃/
abuse	/abyz/
abusé	/abyze/
abusée	/abyze/
abusées	/abyze/
abusent	/abyz/
abuser	/abyze/
abuserai	/abyzəʁɛ/
abuses	/abyz/
abusés	/abyze/
abusez	/abyze/
abusif	/abyzif/
abusifs	/abyzif/
abusive	/abyziv/
abusivement	/abyzivmɑ̃/
abusives	/abyziv/
abusons	/abyzɔ̃/
abyssale	/abisal/
abysse	/abis/
abysses	/abis/
acabit	/akabi/
acacia	/akasja/
acacias	/akasja/
académicien	/akademisjɛ̃/
académiciens	/akademisjɛ̃/
académie	/akademi/
académies	/akademi/
académique	/akademik/
académiques	/akademik/
acadien	/akadjɛ̃/
acajou	/akaʒu/
acariâtre	/akaʁjatʁ/
acariens	/akaʁjɛ̃/
accablant	/akablɑ̃/
accablante	/akablɑ̃t/
accablantes	/akablɑ̃t/
accablants	/akablɑ̃/
accable	/akabl/
accablé	/akable/
accablée	/akable/
accablent	/akabl/
accabler	/akable/
accablés	/akable/
accablez	/akable/
accalmie	/akalmi/
accapare	/akapaʁ/
accaparé	/akapaʁe/
accaparée	/akapaʁe/
accaparent	/akapaʁ/
accaparer	/akapaʁe/
accédait	/aksedɛ/
accédant	/aksedɑ̃/
accédé	/aksede/
accède	/aksɛd/
accèdent	/aksɛd/
accéder	/aksede/
accédera	/aksedəʁa/
accèdes	/aksɛd/
accédez	/aksede/
accélérait	/akseleʁɛ/
accélérant	/akseleʁɑ̃/
accélérateur	/akseleʁatœʁ/
accélérateurs	/akseleʁatœʁ/
accélération	/akseleʁasjɔ̃/
accéléré	/akseleʁe/
accélère	/akselɛʁ/
accélérée	/akseleʁe/
accélérées	/akseleʁe/
accélèrent	/akselɛʁ/
accélérer	/akseleʁe/
accélérera	/akseleʁəʁa/
accélérerait	/akseleʁəʁɛ/
accélérés	/akseleʁe/
accélères	/akselɛʁ/
accélérez	/akseleʁe/
accélérons	/akseleʁɔ̃/
accent	/aksɑ̃/
accents	/aksɑ̃/
accentué	/aksɑ̃tɥe/
accentue	/aksɑ̃ty/
accentuée	/aksɑ̃tɥe/
accentuer	/aksɑ̃tɥe/
accepta	/aksɛpta/
acceptable	/aksɛptabl/
acceptables	/aksɛptabl/
acceptaient	/aksɛptɛ/
acceptais	/aksɛptɛ/
acceptait	/aksɛptɛ/
acceptant	/aksɛptɑ̃/
acceptation	/aksɛptasjɔ̃/
accepte	/aksɛpt/
accepté	/aksɛpte/
acceptée	/aksɛpte/
acceptées	/aksɛpte/
acceptent	/aksɛpt/
accepter	/aksɛpte/
acceptera	/aksɛptəʁa/
accepterai	/aksɛptəʁɛ/
accepteraient	/aksɛptəʁɛ/
accepterais	/aksɛptəʁɛ/
accepterait	/aksɛptəʁɛ/
accepteras	/aksɛptəʁa/
accepterez	/aksɛptəʁe/
